code,name,tel,address
136521,地球村門市,(04)22235330,台中市中區中山路2號
123042,新繼光門市,(04)22207425,台中市中區中山路69號1樓
121954,第一廣場門市,(04)22236627,台中市中區中正路23號1及2樓
120560,東平驛門市,(04)22298340,台中市中區中正路295號1樓
970864,鑫華新門市,(04)22293905,台中市中區中華路一段75號77號及民族路218號
991805,聯華門市,(04)22267149,台中市中區公園路13號
896610,錦花門市,(04)22230402,台中市中區光復路127號
140715,成興門市,(04)22258097,台中市中區成功路271號1樓
112606,市鑫門市,(04)22255056,台中市中區自由路二段9號1樓
931113台鐵門市,(04)22214582,台中市中區建國路172號
135551,鼎站門市,(04)22264467,台中市中區建國路202號
981842,新振興門市,(04)22153224,台中市東區十甲東路217號
111142,漢溪門市,(04)22139779,台中市東區十甲東路575號1樓
896621,富麗門市,(04)22123172,台中市東區十甲路397號
972745,新平智門市,(04)22297551,台中市東區大智路49號
832351,中農門市,(04)22833714,台中市東區台中路269號
893817,綠都門市,(04)22123831,台中市東區自由路三段169-1號
958277,進德門市,(04)22138518,台中市東區自由路三段226號及進德路77號
969026,東英門市,(04)22139200,台中市東區自由路四段339號
923307,光園門市,(04)22800510,台中市東區東光園路142號
971742,東泓門市,(04)22809073,台中市東區東門路140號
110172,樂東門市,(04)22139547,台中市東區東英路331號
977256,建智門市,(04)22817953,台中市東區建成路668號
113425,富仁門市,(04)22133717,台中市東區富榮街2號1樓
976208,復大門市,(04)22201952,台中市東區復興路四段231-5號231-6號1樓
845612,新立德門市,(04)22202225,台中市東區復興路四段4號台中路45號
913643,福明門市,(04)22135826,台中市東區進化路170號1樓
872957,樂業門市,(04)22134683,台中市東區樂業路259號
950963,雅典門市,(04)23787407,台中市南區三民西路377號西川一路1號
982225,慶樹門市,(04)22609823,台中市南區大慶街二段36號
860541,復慶門市,(04)22638927,台中市南區大慶街二段5-2號
991861,長億門市,(04)22653820,台中市南區工學路108號
136130,大時代門市,(04)22609203,台中市南區工學路55號57號
901857,法奇門市,(04)22617268,台中市南區五權南路189號
112237,詠權門市,(04)22655461,台中市南區五權南路527號
912743,福田門市,(04)22612900,台中市南區文心南路885號
980931,鑫廣門市,(04)22650986,台中市南區忠明南路787號
990765,明樓門市,(04)22809432,台中市南區明德街84號(校內店)
140726,宜寧門市,(04)22605645,台中市南區東興路一段21號1樓
920892,南美門市,(04)22650922,台中市南區南平路182號
930486,聯信門市,(04)22853023,台中市南區建成路1107號1樓
890069,茂廣門市,(04)22625013,台中市南區美村路二段182號
118969,光輝門市,(04)23754586,台中市南區美村路二段79號81號1F
121231,高工門市,(04)22634012,台中市南區高工路168號1樓
130811台火門市,(04)22600615,台中市南區高工路355號1樓
127583,興大門市,(04)22814276,台中市南區國光路301號
118796,新國光門市,(04)22203755,台中市南區國光路82及84號;愛國街69號
950088,義興門市,(04)22602308,台中市南區復興路一段128號
114303,生活門市,(04)22603843,台中市南區復興路二段71巷70號1,樓及忠明南路730巷17號1樓
929062,大東家門市,(04)22214273,台中市南區復興路三段140號
146089,民主門市,(04)22234962,台中市南區復興路三段322號324號326號
922913,無尾熊門市,(04)22605412,台中市南區德富路73號
118545,興學門市,(04)22857397,台中市南區學府路64號
112628,新學和門市,(04)22856891,台中市南區學府路70號70-1號72號1樓
911290,頂橋門市,(04)22857908,台中市南區興大路338號340號
139298,新文化門市,(04)23019624,台中市西區中美街283號
962715台麗門市,(04)22060119,台中市西區五權路119號
957551,五權門市,(04)23710517,台中市西區五權路1-201號
136336,保誠門市,(04)23721062,台中市西區五權路2-104號及貴和街222號
885539,安龍門市,(04)23752146,台中市西區五權路2-12號13號
957012,市民門市,(04)23020614,台中市西區公益路157號
127767,益風門市,(04)23107909,台中市西區公益路345之1號347之1號
854661,大全門市,(04)23753022,台中市西區公館路136號138號
110541,篤信門市,(04)22021333,台中市西區台中港路一段84號86號88號
141132,民府門市,(04)22203832,台中市西區四維街22-1號24號
865384,新五廊門市,(04)22240981,台中市西區民生路155號一樓
902757,華生門市,(04)23765931,台中市西區民生路517號
993616,上誠門市,(04)24732465,台中市西區向上路一段381號383號385號
114152,鄉林夏都門市,(04)23267921,台中市西區忠明南路117號1樓
114392,忠明義門市,(04)23269542,台中市西區忠明南路16號16之1號18號1樓
997560,忠福門市,(04)23787263,台中市西區忠明南路192號
955681,吉龍門市,(04)23754680,台中市西區忠明南路410號
113724,三中門市,(04)23146826,台中市西區忠明路54之1號1樓
865889,向勝門市,(04)24723508,台中市西區東興路三段57號
875358,樂群門市,(04)23714557,台中市西區林森路80號及樂群街81號
936048,明義門市,(04)23287885,台中市西區美村路一段22號
